Id,What is your gender?,What year are you currently in?,Which devices do you regularly use at home?,"Do you have any screen time limits? (ex: downtime, time-limit)",How many hours do you typically spend on phone?,"How many hours do you typically spend on devices other than your phone? (ex: laptop, gaming consoles)","On average, how many times do you pick up your phone per day?",Which category of apps do you use the most on your phone?,What day do you use your phone the most?,What day do you use your phone the least?,What is your total weekly screen time?,What is your average daily notifications count?,How likely are you to delay important tasks because of your screen time usage?,How often do you choose digital interactions over face-to-face interactions?,Do you think your screen time reduces the amount of quality time you spend with your family?,How frequently do you find it hard to stop using your device when needed?,Points - How frequently do you find it hard to stop using your device when needed?,Feedback - How frequently do you find it hard to stop using your device when needed?,"How often do you check your phone or device out of habit, even when you are not expecting anything?","Points - How often do you check your phone or device out of habit, even when you are not expecting anything?","Feedback - How often do you check your phone or device out of habit, even when you are not expecting anything?", How often do you use your phone during group activities or social events?,Points -  How often do you use your phone during group activities or social events?,Feedback -  How often do you use your phone during group activities or social events?,How often do you feel the need to check your phone immediately after receiving a notification?,Points - How often do you feel the need to check your phone immediately after receiving a notification?,Feedback - How often do you feel the need to check your phone immediately after receiving a notification?,How often do you use your phone as a distraction during moments of boredom or waiting?,Points - How often do you use your phone as a distraction during moments of boredom or waiting?,Feedback - How often do you use your phone as a distraction during moments of boredom or waiting?,"How often do you find yourself multitasking with your phone (e.g., using it while studying, eating, or during conversations)?","Points - How often do you find yourself multitasking with your phone (e.g., using it while studying, eating, or during conversations)?","Feedback - How often do you find yourself multitasking with your phone (e.g., using it while studying, eating, or during conversations)?",How often do you feel frustrated or anxious if you cannot check your phone for an extended period?,Points - How often do you feel frustrated or anxious if you cannot check your phone for an extended period?,Feedback - How often do you feel frustrated or anxious if you cannot check your phone for an extended period?,How do you feel when you forget your phone at home?,Points - How do you feel when you forget your phone at home?,Feedback - How do you feel when you forget your phone at home?,"In the past month, how often has your screen time made you feel worse about yourself?","Points - In the past month, how often has your screen time made you feel worse about yourself?","Feedback - In the past month, how often has your screen time made you feel worse about yourself?","When you receive fewer notifications or messages than usual, how does it affect your mood?","Points - When you receive fewer notifications or messages than usual, how does it affect your mood?","Feedback - When you receive fewer notifications or messages than usual, how does it affect your mood?",How much does social media use improve your self-esteem?,Points - How much does social media use improve your self-esteem?,Feedback - How much does social media use improve your self-esteem?,Do you feel more emotionally connected to others through in-person conversations or online communication?,Points - Do you feel more emotionally connected to others through in-person conversations or online communication?,Feedback - Do you feel more emotionally connected to others through in-person conversations or online communication?,"When you spend a lot of time on your phone, how do you feel afterward?","Points - When you spend a lot of time on your phone, how do you feel afterward?","Feedback - When you spend a lot of time on your phone, how do you feel afterward?","How often do you use your phone as a way to escape from negative emotions (e.g., stress, sadness)?","Points - How often do you use your phone as a way to escape from negative emotions (e.g., stress, sadness)?","Feedback - How often do you use your phone as a way to escape from negative emotions (e.g., stress, sadness)?",Do you feel more pressure to respond quickly to messages or notifications?,Points - Do you feel more pressure to respond quickly to messages or notifications?,Feedback - Do you feel more pressure to respond quickly to messages or notifications?,Do you feel that your screen time is affecting your relationships with family or friends?,Points - Do you feel that your screen time is affecting your relationships with family or friends?,Feedback - Do you feel that your screen time is affecting your relationships with family or friends?,"When you go through your social media feed, how often do you feel left out or envious of others?","Points - When you go through your social media feed, how often do you feel left out or envious of others?","Feedback - When you go through your social media feed, how often do you feel left out or envious of others?","When receiving positive feedback (e.g., likes, comments) on social media, how does it affect your mood?","Points - When receiving positive feedback (e.g., likes, comments) on social media, how does it affect your mood?","Feedback - When receiving positive feedback (e.g., likes, comments) on social media, how does it affect your mood?",How often do you feel guilty about spending too much time on your phone?,Points - How often do you feel guilty about spending too much time on your phone?,Feedback - How often do you feel guilty about spending too much time on your phone?,Do you think your phone use contributes to your stress levels?,Points - Do you think your phone use contributes to your stress levels?,Feedback - Do you think your phone use contributes to your stress levels?,How often do you feel a sense of loneliness despite frequent digital interactions?,Points - How often do you feel a sense of loneliness despite frequent digital interactions?,Feedback - How often do you feel a sense of loneliness despite frequent digital interactions?,"When faced with negative news or content online, how does it typically affect you emotionally?","Points - When faced with negative news or content online, how does it typically affect you emotionally?","Feedback - When faced with negative news or content online, how does it typically affect you emotionally?",Points - Please rate your level of agreement with the following statements:,Feedback - Please rate your level of agreement with the following statements:,Please rate your level of agreement with the following statements:.Phones should be banned in secondary schools,Points - Please rate your level of agreement with the following statements:.Phones should be banned in secondary schools,Feedback - Please rate your level of agreement with the following statements:.Phones should be banned in secondary schools,Please rate your level of agreement with the following statements:.Excessive phone use in schools can negatively impact academic performance,Points - Please rate your level of agreement with the following statements:.Excessive phone use in schools can negatively impact academic performance,Feedback - Please rate your level of agreement with the following statements:.Excessive phone use in schools can negatively impact academic performance,Please rate your level of agreement with the following statements:.Teachers should have the authority to restrict phone use during class time.,Points - Please rate your level of agreement with the following statements:.Teachers should have the authority to restrict phone use during class time.,Feedback - Please rate your level of agreement with the following statements:.Teachers should have the authority to restrict phone use during class time.,Please rate your level of agreement with the following statements:.Allowing phone use during school breaks improves student well-being.,Points - Please rate your level of agreement with the following statements:.Allowing phone use during school breaks improves student well-being.,Feedback - Please rate your level of agreement with the following statements:.Allowing phone use during school breaks improves student well-being.,Please rate your level of agreement with the following statements:.Students are often distracted by their phones during lessons.,Points - Please rate your level of agreement with the following statements:.Students are often distracted by their phones during lessons.,Feedback - Please rate your level of agreement with the following statements:.Students are often distracted by their phones during lessons.
5,Male ,1st Year,Smartphones;,Yes,1-2 hours,1-2 hours ,0-20 times,Entertainment,Sunday,Saturday,31-40 hours,50-100 notifications,Very unlikely,Rarely,Yes,Never,0,,Sometimes,0,,Often,0,,Rarely,0,,Often,0,,Never,0,,Never,0,,Indifferent,0,,Never,0,,I don't notice a difference ,0,,Slightly improves ,0,,In-person conversations ,0,,Neutral,0,,Never,0,,Rarely,0,,Strongly agree,0,,Never ,0,,It somewhat boosts my mood,0,,Always,0,,"No, it does not",0,,Rarely,0,,It has little to no effect on me,0,,0,,Neutral,0,,I strongly agree,0,,I strongly agree,0,,Neutral,0,,I strongly agree,0,
6,Male ,4th Year (Transition Year),Smartphones;Gaming Consoles;Computers/Laptops;,No,3-4 hours,Less than 1 hour ,51-100 times ,Entertainment,Sunday,Tuesday,10-20 hours,50-100 notifications,Very unlikely,Never,No,Rarely,0,,Rarely,0,,Rarely,0,,Sometimes,0,,Often,0,,Rarely,0,,Rarely,0,,Indifferent,0,,Rarely ,0,,I don't notice a difference ,0,,Slightly decreases,0,,In-person conversations ,0,,Tired and unmotivated ,0,,Rarely,0,,Sometimes,0,,Strongly disagree,0,,Rarely ,0,,It has no effect,0,,Sometimes,0,,"Yes, somewhat",0,,Rarely,0,,significantly affects me emotionally,0,,0,,I disagree,0,,I strongly agree,0,,I strongly agree,0,,Neutral,0,,I disagree,0,
7,Male ,4th Year (Transition Year),Smartphones;,Yes,1-2 hours,1-2 hours ,0-20 times,Games,Saturday,Wednesday,10-20 hours,50-100 notifications,Neither likely nor unlikely,Rarely,No,Rarely,0,,Never,0,,Sometimes,0,,Never,0,,Often,0,,Rarely,0,,Often,0,,Somewhat anxious ,0,,Unsure or prefer not to answer,0,,I don't notice a difference ,0,,No effect,0,,In-person conversations ,0,,Neutral,0,,Often ,0,,Never,0,,Disagree,0,,Rarely ,0,,Unsure or prefer not to answer,0,,Rarely,0,,"No, it helps reduce my stress",0,,Very often,0,,It somewhat affects me emotionally,0,,0,,I strongly disagree,0,,I disagree,0,,I agree,0,,Neutral,0,,I disagree,0,
8,Male ,2nd Year,Gaming Consoles;,Yes,1-2 hours,1-2 hours ,0-20 times,Social Media,I don't know,I don't know,21-30 hours,101-200 notifications,Very unlikely,Rarely,I don't know,Sometimes,0,,Rarely,0,,Rarely,0,,Often,0,,Sometimes,0,,Sometimes,0,,Rarely,0,,Indifferent,0,,Never,0,,I don't notice a difference ,0,,Slightly improves ,0,,In-person conversations ,0,,Neutral,0,,Rarely,0,,Rarely,0,,Disagree,0,,Rarely ,0,,It somewhat boosts my mood,0,,Sometimes,0,,"Yes, somewhat",0,,Sometimes,0,,It has little to no effect on me,0,,0,,I strongly disagree,0,,I disagree,0,,I disagree,0,,I agree,0,,Neutral,0,
9,Prefer not to say,1st Year,Television;,No,More than 10 hours,9-10 hours,101-150 times,Shopping & Food,Monday,Saturday,More than 50 hours ,More than 400 notifications,Very unlikely,Never,No,Rarely,0,,Never,0,,Rarely,0,,Sometimes,0,,Sometimes,0,,Rarely,0,,Rarely,0,,Somewhat relieved,0,,A few times a month,0,,I feel relieved ,0,,Slightly decreases,0,,Unsure or prefer not to answer,0,,Mentally drained,0,,Sometimes,0,,Rarely,0,,Unsure or prefer not to answer,0,,Very often,0,,It significantly boosts my mood,0,,Sometimes,0,,"No, it does not",0,,Sometimes,0,,I tend to avoid or ignore negative content,0,,0,,I strongly agree,0,,I strongly agree,0,,I strongly agree,0,,I strongly agree,0,,I strongly agree,0,
10,Male ,1st Year,Gaming Consoles;Smartphones;Television;,Yes,3-4 hours,3-4 hours ,21-50 times,Social Media,I don't know,I don't know,I am unsure,101-200 notifications,Neither likely nor unlikely,Rarely,I don't know,Sometimes,0,,Odten ,0,,Often,0,,Sometimes,0,,Always,0,,Often,0,,Rarely,0,,Indifferent,0,,Unsure or prefer not to answer,0,,I don't notice a difference ,0,,Unsure or prefer not to answer,0,,Both equally ,0,,Mentally drained,0,,Always,0,,Unsure or prefer not to answer,0,,Strongly disagree,0,,Sometimes ,0,,It has no effect,0,,Never,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,significantly affects me emotionally,0,,0,,I strongly disagree,0,,Neutral,0,,I strongly disagree,0,,I strongly agree,0,,Neutral,0,
11,Male ,2nd Year,Smartphones;Tablets;Gaming Consoles;Computers/Laptops;Television;,No,5-6 hours,3-4 hours ,21-50 times,Entertainment,Friday,Friday,21-30 hours,Less than 50 notifications,Neither likely nor unlikely,Sometimes,No,Rarely,0,,Sometimes,0,,Often,0,,Sometimes,0,,Often,0,,Often,0,,Sometimes,0,,Indifferent,0,,A few times a month,0,,I don't notice a difference ,0,,No effect,0,,Both equally ,0,,Neutral,0,,Often ,0,,Rarely,0,,Disagree,0,,Rarely ,0,,It somewhat boosts my mood,0,,Sometimes,0,,"No, it helps reduce my stress",0,,Sometimes,0,,It somewhat affects me emotionally,0,,0,,I strongly disagree,0,,I disagree,0,,I disagree,0,,I agree,0,,Neutral,0,
12,Male ,3rd Year,Smartphones;,No,5-6 hours,Less than 1 hour ,0-20 times,Games,I don't know,Monday,More than 50 hours ,More than 400 notifications,Very likely,Sometimes,No,Never,0,,Always,0,,Always,0,,Always,0,,Always,0,,Always,0,,Never,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,Unsure or prefer not to answer,0,,0,,I agree,0,,I agree,0,,I agree,0,,I agree,0,,I agree,0,
13,Male ,1st Year,Smartphones;Gaming Consoles;,No,1-2 hours,3-4 hours ,0-20 times,Entertainment,Saturday,Tuesday,10-20 hours,101-200 notifications,Very unlikely,Rarely,Yes,Rarely,0,,Often ,0,,Sometimes,0,,Often,0,,Always,0,,Always,0,,Rarely,0,,Very anxious,0,,Rarely ,0,,I don't notice a difference ,0,,Slightly improves ,0,,In-person conversations ,0,,Neutral,0,,Always,0,,"Yes, always",0,,Agree,0,,Very often,0,,It somewhat boosts my mood,0,,Always,0,,"No, it helps reduce my stress",0,,Often,0,,It significantly affects me emotionally,0,,0,,I disagree,0,,I agree,0,,I agree,0,,I strongly agree,0,,Neutral,0,
14,Male ,2nd Year,Smartphones;,No,3-4 hours,Less than 1 hour ,0-20 times,Social Media,Tuesday,Monday,10-20 hours,I don't know,Very unlikely,Never,No,Never,0,,Never,0,,Rarely,0,,Rarely,0,,Sometimes,0,,Rarely,0,,Rarely,0,,Indifferent,0,,Rarely ,0,,I don't notice a difference ,0,,No effect,0,,In-person conversations ,0,,Neutral,0,,Never,0,,Rarely,0,,Disagree,0,,Sometimes ,0,,It somewhat boosts my mood,0,,Sometimes,0,,"Yes, somewhat",0,,Never,0,,It has little to no effect on me,0,,0,,I disagree,0,,I strongly agree,0,,I strongly agree,0,,Neutral,0,,I agree,0,
